timestamp,encoding,decodedData
1741699575112,base64,"6458115177697322712"
1741699575389,base64,"6458115177697322712"
1741699575390,base64+zstd,"6458115177697322712"
1741699575397,jsonParsed,"6458115177697322712"
1741699575670,base64+zstd,"6458115177697322712"
1741699575674,base64,"6458115177697322712"
1741699575670,jsonParsed,"6458115177697322712"
1741699575949,jsonParsed,"6458115177697322712"
1741699575942,base64+zstd,"6458115177697322712"
1741699575960,base64,"6458115177697322712"
1741699576237,base64,"6458115177697322712"
1741699576256,jsonParsed,"6458115177697322712"
1741699576237,base64+zstd,"6458115177697322712"
1741699576525,base64+zstd,"6458115177697322712"
1741699576541,jsonParsed,"6458115177697322712"
1741699576535,base64,"6458115177697322712"
1741699576825,jsonParsed,"6458115177697322712"
1741699576815,base64+zstd,"6458115177697322712"
1741699576815,base64,"6458115177697322712"
1741699577096,base64,"6457513934588693320"
1741699577097,jsonParsed,"6457513934588693320"
1741699577145,base64+zstd,"6457513934588693320"
1741699577420,jsonParsed,"6456819352631830528"
1741699577420,base64+zstd,"6456819352631830528"
1741699577421,base64,"6456819352631830528"
1741699577700,base64,"6456819352631830528"
1741699577705,base64+zstd,"6456819352631830528"
1741699577710,jsonParsed,"6456819352631830528"
1741699577979,base64+zstd,"6456265716661899780"
1741699577991,base64,"6456265716661899780"
1741699577986,jsonParsed,"6456265716661899780"
1741699578263,jsonParsed,"6456750748099524444"
1741699578271,base64+zstd,"6456750748099524444"
1741699578260,base64,"6456750748099524444"
1741699578542,base64+zstd,"6456780466328414274"
1741699578544,jsonParsed,"6456780466328414274"
1741699578784,base64,"6456780466328414274"
1741699579057,base64+zstd,"6456949678421490566"
1741699579054,base64,"6456949678421490566"
1741699579057,jsonParsed,"6456949678421490566"
1741699579375,base64+zstd,"6456949678421490566"
1741699579375,jsonParsed,"6456949678421490566"
1741699579328,base64,"6456949678421490566"
1741699579654,base64+zstd,"6456949678421490566"
1741699579650,base64,"6456949678421490566"
1741699579654,jsonParsed,"6456949678421490566"
1741699579960,jsonParsed,"6456949678421490566"
1741699579958,base64,"6456949678421490566"
1741699579951,base64+zstd,"6456949678421490566"
1741699580233,base64+zstd,"6456949678421490566"
1741699580240,jsonParsed,"6456949678421490566"
1741699580229,base64,"6456949678421490566"
1741699580522,jsonParsed,"6456999119974281981"
1741699580520,base64,"6456999119974281981"
1741699580511,base64+zstd,"6456999119974281981"
1741699580845,jsonParsed,"6456999119974281981"
1741699580793,base64+zstd,"6456999119974281981"
1741699580843,base64,"6456999119974281981"
1741699581116,base64,"6456999119974281981"
1741699581125,jsonParsed,"6456999119974281981"
1741699581112,base64+zstd,"6456999119974281981"
1741699581401,base64,"6456999119974281981"
1741699581393,base64+zstd,"6456999119974281981"
1741699581406,jsonParsed,"6456999119974281981"
1741699581680,base64,"6458258950491051008"
1741699581688,jsonParsed,"6458258950491051008"
1741699581681,base64+zstd,"6458258950491051008"
1741699581967,base64+zstd,"6458258950491051008"
1741699581967,base64,"6458258950491051008"
1741699581972,jsonParsed,"6458258950491051008"
1741699582252,jsonParsed,"6458929038222195478"
1741699582246,base64,"6458929038222195478"
1741699582244,base64+zstd,"6458929038222195478"
1741699582525,jsonParsed,"6459109231203248903"
1741699582525,base64+zstd,"6459109231203248903"
1741699582530,base64,"6459109231203248903"
1741699582807,base64+zstd,"6459109231203248903"
1741699582807,base64,"6459109231203248903"
1741699582812,jsonParsed,"6459109231203248903"
1741699583093,base64+zstd,"6459129390972017462"
1741699583087,jsonParsed,"6459129390972017462"
1741699583094,base64,"6459129390972017462"
1741699583373,base64,"6459129390972017462"
1741699583377,jsonParsed,"6459129390972017462"
1741699583367,base64+zstd,"6459129390972017462"
1741699583661,base64+zstd,"6459129390972017462"
1741699583650,base64,"6459129390972017462"
1741699583652,jsonParsed,"6459129390972017462"
1741699583935,jsonParsed,"6459129390972017462"
1741699583937,base64,"6459129390972017462"
1741699583937,base64+zstd,"6459129390972017462"
1741699584222,base64+zstd,"6459129390972017462"
1741699584215,base64,"6459129390972017462"
1741699584222,jsonParsed,"6459129390972017462"
1741699584509,base64,"6459129390972017462"
1741699584503,base64+zstd,"6459129390972017462"
1741699584503,jsonParsed,"6459129390972017462"
1741699584792,base64+zstd,"6459129390972017462"
1741699584792,base64,"6459129390972017462"
1741699584792,jsonParsed,"6459129390972017462"
1741699585069,jsonParsed,"6459003510017846840"
1741699585062,base64+zstd,"6459003510017846840"
1741699585069,base64,"6459003510017846840"
1741699585350,base64+zstd,"6459003510017846840"
1741699585350,base64,"6459003510017846840"
1741699585382,jsonParsed,"6459003510017846840"
1741699585660,base64,"6459003510017846840"
1741699585654,base64+zstd,"6459003510017846840"
1741699585665,jsonParsed,"6459003510017846840"
1741699585946,jsonParsed,"6459003510017846840"
1741699585941,base64+zstd,"6459003510017846840"
1741699585950,base64,"6459003510017846840"
1741699586225,jsonParsed,"6459003510017846840"
1741699586225,base64+zstd,"6459003510017846840"
1741699586225,base64,"6459003510017846840"
1741699586496,base64+zstd,"6459003510017846840"
1741699586514,jsonParsed,"6459003510017846840"
1741699586504,base64,"6459003510017846840"
1741699586799,jsonParsed,"6459003510017846840"
1741699586799,base64,"6459003510017846840"
1741699586799,base64+zstd,"6459003510017846840"
1741699587071,base64+zstd,"6458564607602167660"
1741699587083,base64,"6458564607602167660"
1741699587315,jsonParsed,"6458564607602167660"
1741699587593,base64+zstd,"6459158472872536499"
1741699587598,jsonParsed,"6459158472872536499"
1741699587593,base64,"6459158472872536499"
1741699587880,base64,"6459158472872536499"
1741699587880,jsonParsed,"6459158472872536499"
1741699587880,base64+zstd,"6459158472872536499"
1741699588162,base64+zstd,"6459158472872536499"
1741699588162,jsonParsed,"6459158472872536499"
1741699588163,base64,"6459158472872536499"
1741699588434,base64+zstd,"6459158472872536499"
1741699588439,base64,"6459158472872536499"
1741699588439,jsonParsed,"6459158472872536499"
1741699588710,base64+zstd,"6459158472872536499"
1741699588750,jsonParsed,"6459158472872536499"
1741699588717,base64,"6459158472872536499"
1741699589032,base64,"6459158472872536499"
1741699589027,jsonParsed,"6459158472872536499"
1741699589027,base64+zstd,"6459158472872536499"
1741699589310,jsonParsed,"6459158472872536499"
1741699589310,base64+zstd,"6459158472872536499"
1741699589310,base64,"6459158472872536499"
1741699589589,base64+zstd,"6459158472872536499"
1741699589594,jsonParsed,"6459158472872536499"
1741699589588,base64,"6459158472872536499"
1741699589872,jsonParsed,"6459158472872536499"
1741699589872,base64,"6459158472872536499"
1741699589881,base64+zstd,"6459158472872536499"
1741699590167,jsonParsed,"6459015512949727012"
1741699590203,base64+zstd,"6459015512949727012"
1741699590159,base64,"6459015512949727012"
1741699590498,jsonParsed,"6459015512949727012"
1741699590498,base64+zstd,"6459015512949727012"
1741699590498,base64,"6459015512949727012"
1741699590784,base64,"6458407561187064124"
1741699590772,jsonParsed,"6458407561187064124"
1741699590775,base64+zstd,"6458407561187064124"
1741699591058,jsonParsed,"6458407561187064124"
1741699591058,base64,"6458407561187064124"
1741699591062,base64+zstd,"6458407561187064124"
1741699591363,base64+zstd,"6458407561187064124"
1741699591354,base64,"6458407561187064124"
1741699591354,jsonParsed,"6458407561187064124"
1741699591636,jsonParsed,"6458407561187064124"
1741699591644,base64,"6458407561187064124"
1741699591648,base64+zstd,"6458407561187064124"
1741699591926,base64+zstd,"6458407561187064124"
1741699591933,base64,"6458407561187064124"
1741699591929,jsonParsed,"6458407561187064124"
1741699592217,jsonParsed,"6458407561187064124"
1741699592215,base64,"6458407561187064124"
1741699592206,base64+zstd,"6458407561187064124"
1741699592493,base64+zstd,"6458407561187064124"
1741699592501,jsonParsed,"6458407561187064124"
1741699592510,base64,"6458407561187064124"
1741699592788,jsonParsed,"6458407561187064124"
1741699592799,base64+zstd,"6458407561187064124"
1741699592788,base64,"6458407561187064124"
1741699593089,jsonParsed,"6458407561187064124"
