timestamp,encoding,decodedData
1741699613970,base64+zstd,"6458392442141226874"
1741699614325,base64,"6457282124097836435"
1741699614326,jsonParsed,"6457282124097836435"
1741699614340,base64+zstd,"6457282124097836435"
1741699614699,jsonParsed,"6457909670368953158"
1741699614699,base64,"6457909670368953158"
1741699614699,base64+zstd,"6457909670368953158"
1741699615528,jsonParsed,"6456846252635047232"
1741699615529,base64+zstd,"6456846252635047232"
1741699615533,base64,"6456846252635047232"
1741699616287,base64+zstd,"6457614690733966336"
1741699616288,base64,"6457614690733966336"
1741699616290,jsonParsed,"6457614690733966336"
1741699616657,base64,"6457040023135167564"
1741699616657,base64+zstd,"6457040023135167564"
1741699616661,jsonParsed,"6457040023135167564"
1741699617047,base64,"6456556323965091402"
1741699617047,jsonParsed,"6456556323965091402"
1741699617049,base64+zstd,"6456556323965091402"
1741699617413,jsonParsed,"6456556323965091402"
1741699617414,base64+zstd,"6456556323965091402"
1741699617414,base64,"6456556323965091402"
1741699618153,base64,"6456599023281727719"
1741699618154,base64+zstd,"6456599023281727719"
1741699618154,jsonParsed,"6456599023281727719"
1741699618667,base64+zstd,"6457731983644365824"
1741699618667,base64,"6457731983644365824"
1741699618668,jsonParsed,"6457731983644365824"
1741699618963,base64,"6458616306154559387"
1741699618965,jsonParsed,"6458616306154559387"
1741699618970,base64+zstd,"6458616306154559387"
1741700793890,base64,"6481105035891572354"
1741700793891,base64+zstd,"6481105035891572354"
1741700793907,jsonParsed,"6481105035891572354"
1741700794251,base64,"6481524735601513472"
1741700794252,base64+zstd,"6481524735601513472"
1741700794256,jsonParsed,"6481524735601513472"
1741700794615,base64,"6481886185156605462"
1741700794615,base64+zstd,"6481886185156605462"
1741700794633,jsonParsed,"6481886185156605462"
1741700795033,base64,"6481538104556477125"
1741700795033,base64+zstd,"6481538104556477125"
1741700795034,jsonParsed,"6481538104556477125"
1741700795431,base64+zstd,"6481504934464951443"
1741700795431,base64,"6481504934464951443"
1741700795437,jsonParsed,"6481504934464951443"
1741700795800,base64,"6481513179040597121"
1741700795801,base64+zstd,"6481513179040597121"
1741700795805,jsonParsed,"6481513179040597121"
1741700796163,base64,"6481019771365068926"
1741700796163,jsonParsed,"6481019771365068926"
1741700796163,base64+zstd,"6481019771365068926"
1741700796930,base64,"6481019771365068926"
1741700796931,base64+zstd,"6481019771365068926"
1741700796940,jsonParsed,"6481019771365068926"
1741700797674,base64,"6483368732788229765"
1741700797675,base64+zstd,"6483368732788229765"
1741700797675,jsonParsed,"6483368732788229765"
